Mês Ano,Área de atuação (Função),Subfunção,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos
jan.-22,19 - Ciência e Tecnologia,541 - Preservação e conservação ambiental,0,0,0,"38.340,60"
jan.-22,04 - Administração,183 - Informação e inteligência,"3.235.578,59","1.613.199,39","1.419.366,21","1.618.513,43"
jan.-22,24 - Comunicações,722 - Telecomunicações,"21.214.851,29","5.199.703,11","854.404,93","25.742.519,12"
jan.-22,18 - Gestão ambiental,301 - Atenção básica,"39.533.768,15","3.900.771,12","70.946,55","4.044.176,75"
jan.-22,21 - Organização agrária,122 - Administração geral,"412.959.029,52","30.465.540,10","13.880.030,57","30.297.306,25"
jan.-22,22 - Indústria,125 - Normatização e fiscalização,"22.885.579,04","22.153.351,02","22.152.609,96","10.776.606,45"
jan.-22,12 - Educação,368 - Educação básica,"293.111.050,84","25.897.743,79","1.758.701,47","131.766.106,53"
jan.-22,07 - Relações exteriores,301 - Atenção básica,"48.424.891,03","40.269.446,84","39.675.436,08","614.875,19"
jan.-22,14 - Direitos da cidadania,125 - Normatização e fiscalização,"1.634.042,14","123.141,02","56.728,85","342.361,83"
jan.-22,07 - Relações exteriores,331 - Proteção e benefícios ao trabalhador,"4.477.722,57","3.986.852,51","3.986.852,51",0
jan.-22,20 - Agricultura,605 - Abastecimento,"4.057.950.426,37","6.170.919,62","6.136.698,05","1.585.316.632,07"
jan.-22,15 - Urbanismo,244 - Assistência comunitária,0,0,0,"39.855.735,69"
jan.-22,21 - Organização agrária,363 - Ensino profissional,0,0,0,"602.098,26"
jan.-22,22 - Indústria,663 - Mineração,"321.553,46","115.275,85","88.967,10","1.054.980,88"
jan.-22,15 - Urbanismo,453 - Transportes coletivos urbanos,"12.528.514,80","6.785.403,27","5.331.335,14","9.043.458,12"
jan.-22,06 - Segurança pública,421 - Custódia e reintegração social,"14.166.538,75","717.703,87","373.115,90","7.303.972,39"
jan.-22,10 - Saúde,423 - Assistência aos povos indígenas,"150.037.727,62","17.077.241,07","5.226.673,20","36.800.248,28"
jan.-22,05 - Defesa nacional,722 - Telecomunicações,0,0,0,"3.081.314,37"
jan.-22,07 - Relações exteriores,392 - Difusão cultural,"2.265.066,47","1.982.203,86","1.958.019,99","705.478,11"
jan.-22,07 - Relações exteriores,122 - Administração geral,"233.790.089,05","124.201.590,46","111.447.457,34","29.994.875,52"
jan.-22,22 - Indústria,122 - Administração geral,"369.997.323,23","71.438.431,80","14.148.039,59","79.238.985,63"
jan.-22,26 - Transporte,782 - Transporte rodoviário,"355.240.919,94",0,0,"290.448.690,46"
jan.-22,22 - Indústria,127 - Ordenamento territorial,"270.666,30","8.668,76","5.985,59","1.060.131,96"
jan.-22,05 - Defesa nacional,244 - Assistência comunitária,"6.000,00",0,0,"9.641.602,91"
jan.-22,11 - Trabalho,122 - Administração geral,"611.867.666,56","167.683.652,51","40.471.428,24","8.082.931,55"
jan.-22,05 - Defesa nacional,572 - Desenvolvimento tecnológico e engenharia,"626.841,79","173.604,07",0,"100.391,55"
jan.-22,25 - Energia,121 - Planejamento e orçamento,"1.078.154,91","2.144,92","2.144,92","86.799,00"
jan.-22,04 - Administração,092 - Representação judicial e extrajudicial,"1.225.214,64","584.453,34","25.618,60","31.854.082,82"
jan.-22,19 - Ciência e Tecnologia,301 - Atenção básica,"115.446.275,64","7.512.561,91","1.909.676,98","6.186.962,33"
jan.-22,05 - Defesa nacional,302 - Assistência hospitalar e ambulatorial,"3.009.251,47","560.902,77","268.149,72","2.365.231,75"
jan.-22,22 - Indústria,544 - Recursos hídricos,"7.959,90","6.782,00","6.457,08","747.610,71"
jan.-22,20 - Agricultura,572 - Desenvolvimento tecnológico e engenharia,"612.893,46","409.948,91","217.744,74","13.895.915,08"
jan.-22,15 - Urbanismo,122 - Administração geral,"59.161.997,31","54.090.226,76","9.677.647,02","45.170.500,06"
jan.-22,25 - Energia,122 - Administração geral,"567.034.066,65","44.319.752,39","12.517.228,69","44.798.451,30"
jan.-22,10 - Saúde,306 - Alimentação e nutrição,0,0,0,"507.600,00"
